| Go version | binary size (MB) | countwords (s) | sumloop (s) |
| ---------- | ---------------- | -------------- | ----------- |
| 1.2        |             4.93 |          10.48 |        8.31 |
| 1.3        |             3.90 |           3.17 |        4.26 |
| 1.4        |             3.96 |           3.47 |        4.33 |
| 1.5        |             4.37 |           1.99 |        3.77 |
| 1.6        |             4.33 |           1.98 |        3.51 |
| 1.7        |             3.65 |           1.11 |        3.08 |
| 1.8        |             3.86 |           1.11 |        2.62 |
| 1.9        |             3.85 |           1.11 |        1.97 |
| 1.10       |             4.05 |           1.09 |        1.82 |
| 1.11       |             3.99 |           1.07 |        1.85 |
| 1.12       |             4.21 |           0.93 |        1.77 |
| 1.13       |             4.23 |           0.95 |        1.75 |
| 1.14       |             4.27 |           0.97 |        1.81 |
| 1.15       |             3.66 |           0.76 |        1.81 |
| 1.16       |             3.55 |           0.75 |        1.77 |
| 1.17       |             3.31 |           0.75 |        1.72 |
| 1.18       |             3.29 |           0.75 |        1.61 |
