School_Id,Org_Name,Decile,Total
266,Waipa Christian School,7,60
6783,Remarkables Primary School,10,494
4211,TKKM o Te Rito,5,87
2959,Plateau School,8,143
3036,Tawhai School,5,332
764,Milldale Primary School (Proposed) (Proposed opening date: 2023-01-01),,0
4160,TKKM o Te Atihaunui-A-Paparangi,2,113
4208,TKKM o Mangere,1,262
4209,TKKM o Manawatu,5,103
2848,Gracefield School,5,215
6759,Snells Beach Primary School,6,322
6760,Somerville Intermediate School,10,923
1139,Lake Taupo Christian School,8,118
6117,Hutt Valley Activity Centre,1,0
6119,Akina School/ Activity Centre,1,0
6113,Papakura Activity Centre,1,0
6116,London House Learning Centre,1,0
3024,St Teresa's School (Karori),10,112
6741,Te Matauranga,1,318
6742,Tahatai Coast School,7,717
6124,Napier Community High School,1,0
6126,Taranaki Activity Centre,1,0
6128,Te Ara,1,0
6110,Awhina School/ Activity Centre,1,0
3401,Kumara School,6,34
6788,Hobsonville Point Primary School,10,747
4212,TKKM o Waitaha,1,158
4125,Southcity Christian School,5,161
4126,Palmerston North Adventist Christian School,3,101
6763,Whangaparaoa College,9,1637
4207,TKKM o Nga Maungarongo,4,94
6118,Manawatu Community High School - Manawatu Kura a Iwi,1,0
3025,St Theresa's School (Plimmerton),10,161
4129,Rotorua S D A School,4,37
4140,South Auckland S D A School,2,366
4141,Southwell School,10,651
4143,Tamariki School,4,47
4144,Tauranga Adventist School,6,106
3943,Dipton School,9,42
4109,Hohepa School,8,34
4111,Huntley School (Marton),8,161
4205,TKKM o Piripono Te Kura Whakahou ki Ōtara,1,77
6127,Porirua Activity Centre,1,0
6109,Auckland Secondary Schools' Centre,1,0
4147,Waihi School,10,98
4154,Whangarei Adventist Christian School,3,32
4156,Blind and Low Vision Education Network NZ,3,55
4204,Hare Krishna School,5,96
3947,Edendale School (Southland),8,124
3997,Otama School,9,11
4006,Rimu School,9,104
4011,Ruru Special School,4,93
4013,Sacred Heart School (Waikiwi),9,82
6111,Invercargill Activity Centre,1,0
4132,St Joseph's School (Rangiora),9,139
4123,New Plymouth Adventist Christian School,8,52
4130,St George's School,99,141
4146,Timatanga Community School,6,22
4157,Westbridge Residential School,3,6
4020,St Patrick's School (Invercargill),3,280
4022,St Theresa's School (Invercargill),7,254
4029,Tisbury School,4,106
4047,Waverley Park School,4,243
4054,Wyndham School,6,109
3946,East Gore School,3,98
4112,Southland Adventist Christian School,5,90
4003,Pukerau School,7,60
4007,Riversdale School,9,131
4008,Riverton School,6,129
4026,Te Anau School,9,281
4027,Te Tipua School,5,26
3957,Gorge Road School,9,30
3975,Limehills School,10,183
4104,Hadlow Preparatory School,9,182
3954,Glenham School,8,6
3956,Gore Main School,7,185
4005,Queenstown Primary School,10,617
4014,Salford School,8,256
4021,St Teresa's School (Bluff),3,18
4023,St Thomas School (Winton),9,101
4028,Thornbury School,7,54
4030,Tokanui School,10,65
3977,Lochiel School,10,89
3991,Myross Bush School,10,152
3857,Waitati School,9,86
3961,Halfmoon Bay School,5,38
3963,Heddon Bush School,9,59
3979,Longford Intermediate,4,177
3858,Waiwera South School,8,30
3859,Wakari School,7,286
3539,St Patrick's School (Waimate),5,19
4037,Waikaka School,10,59
4046,Wallacetown School,8,64
4053,Woodlands Full Primary School,10,99
3540,St Patrick's School (Kaiapoi),7,109
3823,St Gerard's School (Alexandra),9,119
3824,St John's School (Ranfurly),8,55
3825,St Joseph's School (Oamaru),5,110
3826,St Joseph's School (Balclutha),5,64
3827,St Joseph's Cathedral School,8,139
3986,Mataura School,2,118
3990,Mossburn School,7,45
3938,Hauroko Valley Primary School,7,87
4105,Hamilton Seventh-Day Adventist School,6,91
4107,Parkside Christian S D A School,3,31
3953,Garston School,8,25
3955,Glenorchy School,7,33
3964,Hedgehope School,9,26
3973,Knapdale School,7,51
3861,Warepa School,7,52
